"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2008","SI","Slovenia",1.656676820,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2008","SK","Slovakia",1.248189770,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2008","UK","United Kingdom",0.076317240,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","AT","Austria",1.731921620,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","BE","Belgium",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","BG","Bulgaria",0.115644870,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","CY","Cyprus",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","CZ","Czechia",4.667080470,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","DE","Germany",5.150821210,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","DK","Denmark",4.183865410,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","EE","Estonia",4.200729760,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","ES","Spain",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","EU27_21","EU (without UK)",3.364665000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",2.635171000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",3.318331000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",2.611279000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","FI","Finland",11.911621090,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","FR","France",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","HU","Hungary",0.523937930,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","IE","Ireland",0.058270820,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","IT","Italy",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","LT","Lithuania",16.144374650,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","LU","Luxembourg",4.283882790,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","LV","Latvia",2.189431260,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","MT","Malta",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","NO","Norway",1.220897990,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","PL","Poland",0.783368200,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","RO","Romania",0.024696800,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","SE","Sweden",4.199269480,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","SI","Slovenia",1.388872030,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","SK","Slovakia",3.099838490,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2009","UK","United Kingdom",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","AT","Austria",1.051701560,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","BE","Belgium",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","BG","Bulgaria",0.078019620,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","CY","Cyprus",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","CZ","Czechia",4.466827170,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","DE","Germany",4.638307890,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","DK","Denmark",3.432749530,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","EE","Estonia",4.232989150,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","ES","Spain",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","EU27_21","EU (without UK)",2.953101000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","EU27_UK_21","EU (with UK until 2019)",2.308749000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","EUEEA30_21","EU/EEA (without UK)",2.911066000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",2.286968000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","FI","Finland",9.778057080,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","FR","France",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","HU","Hungary",0.889199080,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","IE","Ireland",0.077478350,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","IT","Italy",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","LT","Lithuania",14.454803490,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","LU","Luxembourg",3.734246910,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","LV","Latvia",1.162497780,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","MT","Malta",0.223015190,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","NO","Norway",1.034251910,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","PL","Poland",0.541635210,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","RO","Romania",0.133961690,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","SE","Sweden",2.928327560,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","SI","Slovenia",0.843368260,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","SK","Slovakia",3.076391500,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2010","UK","United Kingdom",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","AT","Austria",1.483566770,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","BE","Belgium",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","BG","Bulgaria",0.062877050,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","CY","Cyprus",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","CZ","Czechia",4.526678550,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","DE","Germany",4.738221030,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","DK","Denmark",4.015100500,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","EE","Estonia",5.149282880,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","ES","Spain",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","EU27_21","EU (without UK)",3.057353000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","EU27_UK_21","EU (with UK until 2019)",2.381489000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","EUEEA30_21","EU/EEA (without UK)",3.015746000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",2.360881000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","FI","Finland",10.299995190,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","FR","France",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","HU","Hungary",0.948628520,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","IE","Ireland",0.105892390,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","IT","Italy",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","LT","Lithuania",12.631688790,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","LU","Luxembourg",2.553639670,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","LV","Latvia",1.433266950,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","MT","Malta",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","NO","Norway",1.195236250,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","PL","Poland",0.613836810,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","RO","Romania",0.234662840,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","SE","Sweden",3.606345600,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","SI","Slovenia",0.860737690,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","SK","Slovakia",3.075993030,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2011","UK","United Kingdom",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","AT","Austria",1.609530570,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","BE","Belgium",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","BG","Bulgaria",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","CY","Cyprus",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","CZ","Czechia",6.020509500,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","DE","Germany",3.802057620,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","DK","Denmark",3.238996080,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","EE","Estonia",3.525265400,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","ES","Spain",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","EU27_21","EU (without UK)",2.615012000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",2.043770000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",2.575520000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",2.022867000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","FI","Finland",10.483712060,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","FR","France",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","HR","Croatia",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","HU","Hungary",0.552284400,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","IE","Ireland",0.037977460,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","IT","Italy",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","LT","Lithuania",9.599040360,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","LU","Luxembourg",5.198643360,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","LV","Latvia",1.514840790,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","MT","Malta",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","NO","Norway",0.835890360,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","PL","Poland",0.523874080,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","RO","Romania",0.130830870,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","SE","Sweden",3.106534940,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","SI","Slovenia",1.164984710,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","SK","Slovakia",3.335219450,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2012","UK","United Kingdom",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","AT","Austria",1.940684710,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","BE","Belgium",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","BG","Bulgaria",0.333188580,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","CY","Cyprus",0.104365840,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","CZ","Czechia",5.147908830,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","DE","Germany",3.626233990,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","DK","Denmark",4.013455460,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","EE","Estonia",5.381271190,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","ES","Spain",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","EU27_21","EU (without UK)",2.557298000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",2.001736000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",2.520309000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",1.983248000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","FI","Finland",10.104487560,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","FR","France",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","HR","Croatia",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","HU","Hungary",0.659995680,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","IE","Ireland",0.067578720,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","IS","Iceland",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","IT","Italy",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","LT","Lithuania",9.168156920,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2013","LU","Luxembourg",2.728721940,""
